youtubeid,videoid,caption,fps,tstart,tend,totalframes
0pXLBg1U-cQ,0pXLBg1U-cQ_clip_2_000,"a busy city street with cars, buildings, and people walking on the sidewalk. The scene is captured at dusk, with the sky transitioning from day to night.",20.0,32.7,42.7,3864.0
0pXLBg1U-cQ,0pXLBg1U-cQ_clip_4_001,"a group of people walking down a cobblestone street, with a colorful building in the background. The scene is captured from a fisheye lens perspective.",20.0,108.5,118.5,3864.0
0pXLBg1U-cQ,0pXLBg1U-cQ_clip_4_002,a market scene with people walking around and a blue building with a mural on it.,20.0,118.5,128.5,3864.0
0pXLBg1U-cQ,0pXLBg1U-cQ_clip_6_000,a group of people walking down a path in a cemetery. The camera captures the scene from different angles.,20.0,145.9,155.9,3864.0
0qtdheM1cGw,0qtdheM1cGw_clip_1_000,a yellow taxi cab driving down a street with tall buildings in the background. The video also shows a yellow bus driving down the same street.,20.0,74.7,84.7,9428.0
0qtdheM1cGw,0qtdheM1cGw_clip_3_000,a large building in the background and a crowd of people walking around a large fountain.,20.0,169.8,179.8,9428.0
0qtdheM1cGw,0qtdheM1cGw_clip_5_000,a large building with a glass ceiling and a white floor. There are many people walking around inside the building.,20.0,213.3,223.3,9428.0
0qtdheM1cGw,0qtdheM1cGw_clip_6_000,"a group of people walking around a museum, with a woman in a black dress crouching down at one point.",20.0,321.7,331.7,9428.0
0qtdheM1cGw,0qtdheM1cGw_clip_7_000,a wide shot of a city street with people walking on the sidewalk. The scene changes to show a different angle of the same street with people walking on the sidewalk.,20.0,350.3,360.3,9428.0
0rOroDn8NxM,0rOroDn8NxM_clip_0_000,a series of images of a forest with trees and a river. The images are taken from different angles and distances.,20.0,30.2,40.2,3396.0
0rOroDn8NxM,0rOroDn8NxM_clip_0_001,a series of images of a forest with trees and a river. The sun is shining through the trees in some of the images.,20.0,40.2,50.2,3396.0
0rOroDn8NxM,0rOroDn8NxM_clip_1_000,"a series of images of a zoo enclosure with a variety of animals, including a lion, a bear, and a giraffe. The images are shown in temporal order, with each frame captioned with object names and descriptions with specific locations and sizes.",20.0,66.2,76.2,3396.0
0rOroDn8NxM,0rOroDn8NxM_clip_1_001,a scene of a zoo where people are watching animals. The camera captures the scene from different angles.,20.0,76.2,86.2,3396.0
0rOroDn8NxM,0rOroDn8NxM_clip_3_000,a group of sheep grazing in a fenced area with trees in the background. The camera captures the scene from different angles.,20.0,120.8,130.8,3396.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_000,a scene of a field with a fence and a group of people standing around. There is also a dog present in the field.,20.0,3.5,13.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_002,"a person riding a horse in a field, and the camera captures the scene from different angles.",20.0,23.5,33.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_003,"a horse standing in a field, and a person is seen walking in the background. The video also shows a dog standing in the field.",20.0,33.5,43.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_005,"a horse standing in a field, and a person walking in the background.",20.0,53.5,63.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_007,a lion walking in a field and a man standing in front of a cow.,20.0,73.5,83.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_008,a white lion walking around a field and a man standing next to him.,20.0,83.5,93.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_011,a white lion standing in a field with other animals. The lion is seen in different positions and angles throughout the video.,20.0,113.5,123.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_012,"a group of animals in a field, including horses, cows, and goats. The camera captures the animals from different angles and distances.",20.0,123.5,133.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_014,a scene of a horse in a field with people watching. The horse is seen eating grass in the field.,20.0,143.5,153.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_018,a lion walking in a field and a man walking in the same field.,20.0,183.5,193.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_020,"a lion walking in a field while people watch from behind a fence. The lion is the only animal in the video, and the people are standing still.",20.0,203.5,213.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_021,"a horse standing in a field, and people watching the horse.",20.0,213.5,223.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_024,a field with a fence and a barn in the background. The sun is shining brightly in the sky.,20.0,243.5,253.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_025,a white dog walking around a fenced area while a person walks behind it. The video also shows a white horse in the same fenced area.,20.0,253.5,263.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_027,a white lion walking in a field with people watching. The lion is seen walking in the field with people watching.,20.0,273.5,283.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_028,"a white lion walking in a field, and a person is standing in the background.",20.0,283.5,293.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_031,"a white lion walking in a field, and a man is standing in the field.",20.0,313.5,323.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_034,"a scene of a lion lying down in a field, and later, a white dog is seen walking towards the camera.",20.0,343.5,353.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_035,a white cow standing in a field with people watching it. The cow is seen standing in the field in different positions and angles.,20.0,353.5,363.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_037,"a scene of a field with a sun in the sky, and people are standing around. The camera captures the scene from different angles.",20.0,373.5,383.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_038,"a person lying on the ground in a field, and the camera captures the scene from different angles. The person is seen lying on the ground in various positions throughout the video.",20.0,383.5,393.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_039,"a scene of a field with a sun in the sky, and people are standing in the field.",20.0,393.5,403.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_040,a scene of a field with a person walking in the background. The camera then pans to show a large group of people standing in the field.,20.0,403.5,413.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_0_044,"a scene of a lion walking in a field, and a horse standing in the same field.",20.0,443.5,453.5,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_2_000,a white lion walking in a field with a sun flare in the background. The lion is walking in a field with a sun flare in the background.,20.0,500.9,510.9,11234.0
14O7AxqjiVY,14O7AxqjiVY_clip_2_001,a scene of a farm with animals grazing in a field. The sun is shining brightly in the sky.,20.0,510.9,520.9,11234.0
1Elizfg4MYY,1Elizfg4MYY_clip_0_000,a person walking down a street with cars parked on the side of the road. There are also tall buildings and a woman walking down the street.,29.97002997002997,2.736066666666667,9.4094,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_0_002,"a man walking down a street with a skateboard in his hand. There are also other people walking on the sidewalk, and a white van is parked on the street.",29.97002997002997,16.082733333333334,22.756066666666666,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_0_004,"a group of people walking on a sidewalk, and a red car parked on the street.",29.97002997002997,29.4294,36.10273333333333,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_0_005,a scene of a busy street with people walking and cars driving. The camera captures the scene from different angles and distances.,29.97002997002997,36.10273333333333,42.776066666666665,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_0_007,a busy city street with people walking and cars driving. There is a man in a white shirt and a man in a blue shirt walking on the sidewalk.,29.97002997002997,49.4494,56.122733333333336,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_0_008,a person riding a bike down a street with tall buildings on both sides. The person is wearing a helmet and is riding on the right side of the street.,29.97002997002997,56.122733333333336,62.79606666666667,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_0_009,a man in a blue shirt and red shorts walking across a street at an intersection. There are also other people walking on the sidewalk and a car parked on the street.,29.97002997002997,62.79606666666667,69.46940000000001,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_0_010,"a busy city street with cars, trucks, and pedestrians. The street is wet, and there are tall buildings on both sides.",29.97002997002997,69.46940000000001,76.14273333333334,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_0_013,"a series of images of a city street and its surroundings. The images are shown in temporal order, with each frame captioned with object names and descriptions with specific locations and sizes.",29.97002997002997,89.4894,96.16273333333334,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_11_002,a person walking through a market with a blue hat on. The video also shows a person wearing a blue hat in different locations.,29.97002997002997,874.874,881.5473333333333,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_11_003,a person walking through a market while people are walking around. The video also shows a person sitting on the ground.,29.97002997002997,881.5473333333333,888.2206666666667,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_11_004,a market with a lot of people walking around and a man in a black hat is seen in different parts of the video.,29.97002997002997,888.2206666666667,894.894,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_11_006,"a bustling market scene with people walking around and shopping. There are also various objects such as fruits, vegetables, and clothing items displayed in the market.",29.97002997002997,901.5673333333332,908.2406666666668,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_11_007,a bustling market scene with people walking around and shopping. There is a man wearing a blue shirt who is walking through the market.,29.97002997002997,908.2406666666668,914.914,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_12_001,a scene of a market with people walking around and looking at the produce. There is a man in a black shirt who is seen walking through the market.,29.97002997002997,924.7238,931.3971333333334,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_12_004,"a group of people walking through a food court, and a man in a black shirt is seen walking through the food court.",29.97002997002997,944.7438,951.4171333333334,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_12_005,a bustling market scene with people walking around and shopping. There is a man in a black shirt who is seen walking around the market.,29.97002997002997,951.4171333333334,958.0904666666668,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_12_006,a scene of a market with people walking around and shops on either side. There is a green neon sign that is visible throughout the video.,29.97002997002997,958.0904666666668,964.7638,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_12_008,"a large group of people walking through a market, with a man wearing a white shirt and red shorts walking in the opposite direction.",29.97002997002997,971.4371333333332,978.1104666666666,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_13_000,"a bustling market scene with people walking around and shops on either side. The camera captures the scene from different angles, including a first-person perspective.",29.97002997002997,1001.6673333333332,1008.3406666666668,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_14_000,"a man wearing a hat who is seen in different locations, including a store and a restaurant.",29.97002997002997,1018.7510666666668,1025.4244,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_14_002,"a man wearing a hat who is walking through a store. There are also other people in the store, and the man is seen wearing a backpack.",29.97002997002997,1032.0977333333333,1038.771066666667,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_14_003,"a man wearing a hat and a backpack who is seen in different locations, including a food court, a store, and a restaurant. He is also seen sitting on the ground and looking at his phone.",29.97002997002997,1038.771066666667,1045.4444,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_14_004,"a man wearing a blue hat and a backpack, who is seen using his phone in various locations, including a food court, a restaurant, and a room with a table.",29.97002997002997,1045.4444,1052.1177333333333,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_15_000,a group of people standing in a room with a counter and a table. The camera then pans to show a large room with a counter and a table.,29.97002997002997,1059.324933333333,1065.9982666666667,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_16_000,a bustling market scene with people walking around and a man in a blue shirt standing in front of a large display of food.,29.97002997002997,1086.2184666666667,1092.8918,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_16_001,a bustling market scene with people walking around and shopping. There is a woman wearing a red shirt who is seen multiple times throughout the video.,29.97002997002997,1092.8918,1099.5651333333333,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_16_003,"a large group of people walking around a mall, with a man in a green shirt and hat walking in the opposite direction.",29.97002997002997,1106.238466666667,1112.9118,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_16_007,"a person walking through a shopping mall, passing by various stores and people.",29.97002997002997,1132.9318,1139.6051333333332,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_16_010,a busy city street with people walking and cars driving. There is also a man riding a skateboard down the street.,29.97002997002997,1152.9518,1159.6251333333337,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_16_011,"a person riding a bike through a city street, passing by a green building with a red sign on the side.",29.97002997002997,1159.6251333333337,1166.2984666666666,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_16_012,a person walking down a sidewalk with a green awning and a green and white building in the background. There are also people walking on the sidewalk and a green trash can.,29.97002997002997,1166.2984666666666,1172.9718,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_16_016,a bustling market scene with people walking around and a man in a blue shirt and hat walking by.,29.97002997002997,1192.9918,1199.6651333333334,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_16_019,a man walking down a street with cars parked on the side of the road. There are also people walking around and a woman pushing a stroller.,29.97002997002997,1213.0118,1219.6851333333334,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_17_000,a man riding a skateboard down a street with cars parked on the side. There are also people walking on the sidewalk and a green awning over a storefront.,29.97002997002997,1222.0208,1228.6941333333334,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_17_002,"a person riding a skateboard through a busy city street, passing by various people and objects.",29.97002997002997,1235.3674666666666,1242.0408,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_17_003,a bustling city street with people walking and cars driving. The camera captures the scene from a first-person perspective.,29.97002997002997,1242.0408,1248.7141333333334,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_19_001,a person walking down a street with a crowd of people walking around. The person is wearing a hat and a backpack.,29.97002997002997,1295.4274666666668,1302.1008,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_19_002,a bustling marketplace with people walking around and shops on either side of the street. There are also parked cars and a crane in the distance.,29.97002997002997,1302.1008,1308.774133333333,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_19_003,a bustling marketplace with people walking around and shops on either side of the street. There are also parked cars and a large white building with a red roof.,29.97002997002997,1308.774133333333,1315.4474666666667,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_1_001,"a person walking down a sidewalk in front of a building, and there is a blue car parked on the street.",29.97002997002997,129.59613333333334,136.26946666666666,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_1_002,"a series of images of a city street with various objects and people in view. The images are shown in temporal order with descriptions of the objects, their locations, and sizes.",29.97002997002997,136.26946666666666,142.9428,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_1_003,"a man walking down a sidewalk next to a building, and a parked motorcycle.",29.97002997002997,142.9428,149.61613333333332,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_1_005,"a person riding a bike through a city street, passing by various buildings and cars.",29.97002997002997,156.28946666666667,162.96280000000002,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_1_007,a person riding a skateboard down a city street while passing by various buildings and cars.,29.97002997002997,169.63613333333333,176.30946666666668,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_1_008,"a person riding a skateboard down a city street, passing by various buildings and shops.",29.97002997002997,176.30946666666668,182.9828,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_1_011,a woman walking across a street while a man is riding a bike.,29.97002997002997,196.32946666666663,203.0028,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_1_014,a person walking down a street with a blue hat on their head. The street is busy with cars and people walking around.,29.97002997002997,216.34946666666667,223.0228,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_1_015,"a man lying on the ground with a blue hat on his head, and people walking on the sidewalk.",29.97002997002997,223.0228,229.6961333333333,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_1_019,a person riding a bike down a busy street with cars and pedestrians. The person is wearing a blue shirt and a helmet.,29.97002997002997,249.71613333333332,256.3894666666667,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_20_002,a busy city street with people walking and cars driving. The street is also decorated with flowers.,29.97002997002997,1348.6139333333333,1355.2872666666667,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_20_003,a busy street with cars and people moving around. There is a white car parked on the side of the road.,29.97002997002997,1355.2872666666667,1361.9606,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_20_004,a fisheye view of a busy street with people walking and cars parked. The scene is captured from under a covered area.,29.97002997002997,1361.9606,1368.6339333333333,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_21_000,a scene of a busy street with people walking and cars driving. There is a parked car that is visible throughout the video.,29.97002997002997,1380.6459333333337,1387.3192666666666,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_005,"a bustling city scene with people walking around and tall buildings in the background. The scene is captured from different angles and distances, showcasing the city's vibrant atmosphere.",29.97002997002997,1426.3582666666666,1433.0316,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_007,a series of scenes showing a city street with people walking around. The scenes are captured from different angles and distances.,29.97002997002997,1439.7049333333334,1446.3782666666666,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_010,a woman walking down a sidewalk while people walk by and cars drive by on the street. The woman is wearing a pink shirt and carrying a red bag.,29.97002997002997,1459.7249333333334,1466.3982666666666,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_011,a person walking down a street with cars and people around. The person is wearing a red shirt and is walking on the sidewalk.,29.97002997002997,1466.3982666666666,1473.0716,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_012,a person walking down a street with cars and buildings in the background. The person is wearing a white shirt and blue jeans.,29.97002997002997,1473.0716,1479.7449333333334,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_013,a person walking down a street with cars and people moving around. The person is wearing a backpack and is walking on the sidewalk.,29.97002997002997,1479.7449333333334,1486.4182666666668,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_014,a person walking down a street with various objects and people in the background. The video also shows a person walking down the same street with a different set of objects and people in the background.,29.97002997002997,1486.4182666666668,1493.0916,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_018,a person walking down a street with cars parked on the side of the road. The person is wearing a yellow shirt and is walking on the sidewalk.,29.97002997002997,1513.1116,1519.7849333333334,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_020,a series of images of a city street with people walking on the sidewalk.,29.97002997002997,1526.4582666666668,1533.1316,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_023,a person walking down a street with tall buildings and cars passing by. The person is wearing a hat and a backpack.,29.97002997002997,1546.4782666666667,1553.1516,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_026,"a group of people sitting on a bench in a plaza, and a man is seen sitting on the ground. The video also shows a person walking on the sidewalk and a person sitting on a bench.",29.97002997002997,1566.4982666666667,1573.1716,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_029,"a skateboarder riding down a ramp in a city, and the camera captures the scene from different angles.",29.97002997002997,1586.5182666666667,1593.1916,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_031,a person skateboarding down a ramp in a city. The person is wearing a blue helmet and is seen from different angles.,29.97002997002997,1599.8649333333333,1606.5382666666667,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_035,a person skateboarding down a ramp and a man sitting on a bench.,29.97002997002997,1626.558266666667,1633.2316,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_22_037,a person riding a bike down a street with buildings and trees on both sides. The person is wearing a helmet and is riding on the sidewalk.,29.97002997002997,1639.9049333333337,1646.5782666666669,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_23_001,a scene of a street with a building in the background. The camera captures the building and the street from different angles.,29.97002997002997,1659.1908666666668,1665.8642,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_25_000,"a yellow fire hydrant on the sidewalk of a city street, and a black and white fire hydrant on the sidewalk of a city street.",29.97002997002997,1681.0126666666667,1687.686,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_25_001,"a series of scenes showing a city street with cars and buildings. The scenes are captured from different angles and distances, and the video is shot in 360 degrees.",29.97002997002997,1687.686,1694.359333333333,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_25_002,"a series of images of a city street with cars and buildings. The images are shown in temporal order with descriptions of the objects, their locations, and sizes.",29.97002997002997,1694.359333333333,1701.0326666666667,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_25_005,a series of images of a city street with people walking on the sidewalk. The scenes are captured from different angles and distances.,29.97002997002997,1714.3793333333333,1721.0526666666667,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_25_006,a city street with tall buildings and a sidewalk with a trash can.,29.97002997002997,1721.0526666666667,1727.726,81000.0
1Elizfg4MYY,1Elizfg4MYY_clip_25_008,a busy city street with people walking and cars driving. There is a man in a blue shirt who is walking across the street.,29.97002997002997,1734.3993333333333,1741.0726666666667,81000.0
